0kilo	'kilau	@千; { 千	13
2ve	liv.laiv	#活的, 生动的, 精力充沛的, 实况转播的; $活, 生存, 居住; !过着, 度过, 经历; %实况地	23
4lihood	'laivlihud	@生计, 营生, 生活	40
5y	'laivli	#活泼的, 鲜明的, 生动的	5f
4r	'liva	@肝脏, 生活者, 居民; | 肝	5c
4stock	'laivstQk	@家畜; > 牲畜, 家畜	64
3id	'livid	#铁青的; | 青紫的	80
4ng	'liviN	@生活, 生计, 生存; #活的, 逼真的, 现存的	1e
6-room		@起居室	4
2zard	'lizad	@蜥蜴; | 蜥蜴	40
1oad	laud	@负荷, 担子, 重担, 装载量, 负载, 工作量, 加载; !装载, 装填, 使担负; $装货, 上客, 装料; { 加载, 装入程序	5e
3f	lauf	@一条面包, 块, 游荡; v. 游手好闲, 虚度光阴	be
3m	laum	@壤土; !用土填	80
3n	laun	@贷款, 借出; v. 借, 供应货款, 借给	7c
4s	laun	@借贷；贷款（loan的复数形式）	20
3th	lauT	#不情愿的, 厌恶的	e0
5e	lauD	!厌恶, 憎恶	c0
5some	'lauDsam	#讨厌的, 可恶的, 令人憎恶的	40
2bby	'lQbi	@大厅, 休息室, 游说议员者; $游说议员, 游说; !游说	f8
3e	laub	@叶, 耳垂, 裂片; | 叶	80
3ster	'lQbsta	@龙虾	40
2cal	'laukal	#地方性的, 当地的, 局部的, 乡土的, 本地的; @当地居民, 本地新闻, 局部; { 本地的; 局部	3e
5e	lau'kA:l	@现场, 场所; { 场所	80
5ity	lau'kEliti	@地方, 所在, 位置; } 位置, 场所, 地区	78
5ly	'laukali	%地方性地, 局部性地, 在当地	40
4te	'laukeit	!找出, 设于, 位于; $定居	5c
5ion	lau'keiSan	@位置, 场所, 特定区域; { 位置	7c
8s	lau'keiSan	@位置；定位件；地点（location的复数）	20
3k	lQk	@锁, 刹车, 水闸, 一缕头发; !锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住; $锁住, (齿轮等)啮合, (船)过闸	37
4er	'lQka	@抽屉, 小柜, 上锁人; [机] 锁柜	30
3omote	'laukamaut	!移动；行动	40
7ion	.lauka'mauSan	@运动, 移动, 旅行; | 行动, 运动	c0
8ve	.lauka'mautiv	@火车头, 机车; #运转的, 火车头的, 移动的	fc
4weed	'laukauwi:d	@疯草	40
3us	'laukas	@轨迹；地点, 所在地	80
5t	'laukast	@蝗虫, 蚱蜢, 蝉	8a
4tion	lau'kju:San	@语言表达方式, 语言风格	80
2de	laud	@矿脉, 水路, 排水沟	c0
3ge	lQdZ	@小屋, 门房, 支部, 旅舍, 分会; $临时住宿, 倒伏, 寄宿, 投宿; !安顿, 容纳, 提出, 把...射入, 存放	7c
4ing	'lQdZiN	@寄宿处, 寄宿; } 提起, 住所	68
2ft	lQft	@阁楼, 鸽房, 楼上; !储存于阁楼上; $将球高击	80
4y	'lQfti	#高的, 傲慢的, 崇高的, 高级的, 玄虚的	f8
2g	lQg	@记录, 圆木, 日志, 计程仪; !伐木, 切, 航行; $伐木; { 日志	fc
3ic	'lQdZik	@逻辑, 逻辑学, 推理的方法, 推理, 逻辑性; { 逻辑	7c
5al	'lQdZikal	#合乎逻辑的, 合理的; } 逻辑的, 符合逻辑的	5c
4stics	lau'dZistiks	@后勤学, 后勤; | 后勤学	88
3jam	'lQgdZEm	@拥挤, 行不通, 为许多圆木材所阻	80
2iter	'lQita	v. 闲荡, 虚度, 徘徊	80
2ll	lQl	$懒散地闲荡, 垂下头, 伸舌; !垂, 伸, 靠着	a0
0London	'lVndan	@伦敦	23
0lone	laun	#孤单的, 孤立的, 单身的, 寂寞的	40
4ly	'launli	#孤单的, 孤寂的, 荒凉的	1f
3g	lQN	#长的, 长久的, 冗长的, 做多头的; $渴望, 热望, 极想; %长久, 始终; @长时间, 长信号, 长整型; { 长, 长整型	43
4-lasting	lQN 'lA:stiN	#持久的；持续的；长期的	40
5range		#远程的, 远大的, 长期的; ] 远程的; 长距离的; 长期的; 长远的	40
5standing	'lONstEdiN	#长期存在的	40
5winded	'lON'windid;'lO:N-	#气息长的, 冗长的, 罗唆的	80
4evity	lQn'dZeviti	@长命, 长寿, 寿命; | 长寿	c8
4ing	'lQNiN	@渴望, 热望, 憧憬; #渴望的, 热望的	c8
5tude	'lQndZitju:d	@经度, 经线; [电] 经度	78
2ok	luk	@一看, 神色, 样子, 面容; $看, 注意, 朝着, 显得; !打量, 看上去与...一样, 以眼色(或脸色)显示, 期待	3
3m	lu:m	@织布机, 若隐若现的景象; $朦胧地出现, 隐约可见, 可怕地出现	f0
3n	lu:n	@懒人, 潜鸟, 笨蛋	80
3p	lu:p	@环, 圈, 弯曲部分, 循环; !使成环, 以圈结, 以环连结; $打环, 翻筋斗; { 循环	fc
4hole	'lu:phaul	@枪眼, 小窗, 换气孔	80
3se	lu:s	@发射, 放任, 放纵; #宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的; !释放, 放枪, 开船; $变松, 开火; %松散地	5e
5ly	'lu:sli	%松弛地, 宽松地, 不紧	48
5n	lu:sn	!放松, 松开, 解除; $变松, 松弛	dc
3t	lu:t	@赃物, 洗劫, 抢夺; v. 洗劫, 抢夺	40
2pe	laup	v. (使)大步慢跑; @大步慢跑	80
3sided	lQp'saidid	#倾向一方的, 不平衡的	80
2quacious	lau'kweiSas	#多嘴的, 好辩的, 吵闹的, 潺潺的	80
2rd	lQ:d	@统治者, 阁下, 上帝; $称王, 作威作福; !使成贵族	1c
3e	lQ:	@知识, 眼光	c0
3ry	'lQri	@卡车, 货车; ] 载重汽车	1e
2se	lu:z	!遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于; $受损失, 失败	1f
3s	lQs	@损失, 遗失, 失败, 输, 错过, 伤亡; ] 损失; 损耗	3e
2t	lQt	@运气, 签, 抽签, 份额, 许多, 一堆; !划分; $抽签, 抓阄	83
3h	lauT	#不愿意的, 厌恶的	20
3tery	'lQtari	@奖券, 彩票, 运气; > 抽彩给奖法	f0
2ud	laud	#大声的, 不断的, 喧吵的; %高声地, 大声地	17
4ly	'laudli	%高声地, 大声地, 吵闹地	2
4speaker	'laud'spi:ka	@扩音器, 喇叭; [电] 扬声器	1e
3nge	laundZ	@闲逛, 休闲室, 长沙发; $闲混, (懒洋洋地)躺; !闲混	ba
3t	laut	@蠢人; !愚弄; $屈服	80
4ish	'lautiS	#粗野的, 无礼的	80
2ve	lVv	@爱, 恋爱, 爱情, 爱好, 性爱; !爱, 爱好, 爱慕; $爱	3
4ly	'lVvli	#可爱的, 有趣的	3
4r	'lVva	@爱人, 爱好者	14
2w	lau	@低点, 低价, 低, 牛叫声; #低的, 消沉的, 低等的, 浅的, 卑贱的; %低下地, 谦卑地, 低; $牛叫	83
3-risk	lau risk	|低危的, 低风险的	20
3bred	'lau'bred	#未受过好教育的	80
3er	'laua	#低的, 下级的, 下层的; $降低, 跌落, 减弱; !放下, 降下, 减弱, 贬低	14
2yal	'lQial	#忠诚的, 忠实的, 忠贞的	fc
5ty	'lQialti	@忠贞, 忠诚, 忠实; } 忠诚, 忠心	1c
1ubricant	'lu:brikant	#润滑的; @润滑物, 润滑油, 润滑剂	80
7te	'lu:brikeit	!使润滑, 涂油; $润滑	bc
8ion	,lu:bri'keiSan	@润滑, 注油, 润滑作用; { 润滑	40
6ious	lu:'briSas	#滑的, 光滑的, 淫荡的, 不稳定的	80
2cid	'lu:sid	#明晰的, 清澈的, 透明的, 透彻的; | 清明的, 透明的, 清醒的	a0
3k	lVk	@运气, 幸运, 好运, 侥幸; $靠好运成功	37
4y	'lVki	#幸运的, 吉祥的, 好运的, 侥幸的	17
3rative	'lu:krativ	#有利益的, 获利的, 合算的	e0
4e	'lu:ka	@收益, 钱财	80
3ubrate	'lu:kju:breit	$在灯下用功, 深入研究, 专心著作	80
2dicrous	'lu:dikras	#可笑的, 滑稽的, 荒唐的	a0
2g	lVg	v. 拖, 拉; @一拖, 一拉, 耳朵, 耳状物, 装腔作势, 勒索	c0
3gage	'lVgidZ	@行李, 皮箱	1e
2kewarm	'lu:kwQ:m	#微温的, 不热的, 不热情的; | 微温的	80
2ll	lVl	@暂停, 间歇, 稍息, 使人安静的东西; !使平静, 哄骗, 使安静; $变平静	e0
4aby	'lVlabai	@摇篮曲, 催眠曲, 轻柔的音乐	80
2mber	'lVmba	@木材, 破旧家俱, 废物, 隆隆声; !砍伐木材, 乱堆; $笨拙地移动, 喧闹地向前走, 隆隆地移动	dc
6ing	'lVmbariN	@伐木, 伐木业; #外形笨重的, 笨拙的, 步子沉重的, 动作迟缓的, 表达不流畅的	40
6jack	'lVmbadZEk	@伐木工人, 板材上垛装置	80
3en	'lu:min	@流明, 腔; | 腔, 流明(光通单位)	80
3inary	'lu:minari	@发光体, 杰出人物	80
5osity	.lu:mi'nQsiti	@光明, 光辉, 光度, 亮度; { 亮度	40
6us	'lu:minas	#发光的, 明亮的; | 发光的	68
3p	lVmp	@块, 瘤, 很多, 肿块, 笨人; !使成块状, 混在一起; $结块	fc
2nar	'lu:na	#阴历的, 月的, 微亮的(指光); | 月的, 银的	fc
4tic	'lu:natik	@疯人, 癫狂者, 愚蠢的人; #疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的	80
3ch	lVntS	@午餐	23
5eon	'lVntSan	@午宴, 午餐会	8
3g	lVN	@肺, 肺脏, 空地; | 肺	5e
2rch	la:tS	@惨败, 倾斜, 挫折, 举步蹒跚, 徘徊; $惨败, 倾斜, 徘徊; !击败	c0
3e	lua	@饵, 诱惑; !引诱, 诱惑	f0
3id	'luarid	#火烧似的, 苍白的, 华丽的, 可怕的	80
3k	la:k	@潜伏, 潜行; $暗藏, 潜伏, 埋伏; { 隐匿阅读	e0
2scious	'lVSas	#甘美的, 浓厚的, 满足感官的	80
3h	lVS	#苍翠繁茂的, 多青草的, 丰富的; @酒, 酒鬼; v. 饮	80
3t	lVst	@贪欲, 欲望, 色欲; $贪求, 渴望, 动淫念	c0
4er	'lVsta	@光彩, 荣誉, 光泽; $有光泽, 发亮; !使发光辉	40
4rous	'lVstras	#有光泽的, 光辉的	c0
4y	'lVsti	#健壮的, 精力充沛的	c0
2xuriant	lVg'zjuariant	#繁茂的, 丰富的, 肥沃的, 华丽的; | 过盛的, 过多的	c0
6ous	lVg'zjuarias	#豪华的, 奢侈的, 放纵的	c8
5y	'lVkSari	@奢侈, 豪华; #奢侈的, 豪华的	fc
1ynch	lintS	@私刑, 私罚; !处以私刑处死, 加私刑	80
2ric	'lirik	@抒情诗, 歌词; #抒情的	c0
5ally		%抒情地；诗意地；狂热地	40
5ist	'lirisist	@抒情诗人, 歌曲作者	40
0macabre	ma'kA:bra	#以死亡为主题的, 可怕的	80
3erate	'mEsareit	$浸软, 消瘦; !把...浸软, 使消瘦	80
3hination	mEki'neiSan	@阴谋, 图谋, 策划; } 诡计, 奸计, 阴谋	80
6e	ma'Si:n	@机器, 机械装置, 机构, 自动售货机, 机械般工作的人; !以机器制造	23
