word,translation,tag
barnacle goose,白颊黑雁,cedict
barometric pressure,气压,cedict
barrage of gunfire,连珠炮,cedict
barramundi or asian sea bass,尖吻鲈,cedict
barred buttonquail,棕三趾鹑,cedict
barred cuckoo-dove,斑尾鹃鸠,cedict
barred laughingthrush,斑背噪鹛,cedict
barred spiral galaxy,棒旋星系,cedict
barred warbler,横斑林莺,cedict
barrel of a gun,枪筒,cedict
barren field,薄田,cedict
barren hill,荒山,cedict
barren land,薄地,cedict
barren or uninhabited island,荒岛,cedict
barrier or mark,大关,cedict
barrier reef,堡礁,cedict
barth or barthes,巴特,cedict
basal cell carcinoma,基底细胞癌,cedict
basal plasma membrane,基质膜,cedict
base body,基体,cedict
base camp,大本营,cedict
base electrode,基极,cedict
base fertilizer,基肥,cedict
base for operations,据点,cedict
base harmonic,基谐波,cedict
base hit,安打,cedict
base ingredient,底料,cedict
base jumping,低空跳伞,cedict
base line,底边,cedict
base net,基网,cedict
base note,后调,cedict
base number,标底,cedict
base of operations,地盘,cedict
base of the ear,耳根,cedict
base of the skull,颅底,cedict
base pair,碱基对,cedict
base pairing,碱基配对,cedict
base pay,底薪,cedict
base person,虫豸,cedict
base rate,基本利率,cedict
base solvent,基质,cedict
base station,基站,cedict
baseball circles,棒坛,cedict
baseball fan,棒球迷,cedict
baseball world,棒坛,cedict
based on,根据,cedict
baseless suspicions,心眼儿,cedict
basement layer,基层,cedict
bases loaded,满垒,cedict
basic concept,基本概念,cedict
basic course,基础课,cedict
basic essence,素质,cedict
basic issue,基础问题,cedict
basic law,基本法,cedict
basic level,基层,cedict
basic multilingual plane,基本多文种平面,cedict
basic necessity,基本需要,cedict
basic rate,基础速率,cedict
basic rules,约法三章,cedict
basic salary,底薪,cedict
basic skills,基本功,cedict
basic unit,基本单位,cedict
basic version,丐版,cedict
basic word,基本词汇,cedict
basilar artery,基底动脉,cedict
basin irrigation,淹灌,cedict
basis point,基本点,cedict
basketball court,篮球场,cedict
basketball team,篮球队,cedict
basking shark,姥鲨,cedict
basophil granulocyte,嗜碱性球,cedict
basophil granulocytes,嗜碱性粒细胞,cedict
bass drum,大鼓,cedict
bass guitar,贝斯吉他,cedict
bass voice,男低音,cedict
basset hound,短腿猎犬,cedict
bast fiber plant,麻类,cedict
batch number,批号,cedict
batch processing,批处理,cedict
bath ball,沐浴球,cedict
bath city in southwest england,巴斯,cedict
bath oil,沐浴油,cedict
bath product,沐浴用品,cedict
bath salts,浴盐,cedict
bath sponge,沐浴球,cedict
bath towel,浴巾,cedict
bath tub,澡盆,cedict
bathhouse pool,池子,cedict
bathing and recreation center,洗浴中心,cedict
bathing costume,游泳衣,cedict
bathing spot,浴场,cedict
bathroom cabinet,浴柜,cedict
bathroom fittings,洁具,cedict
bathroom sink,洗手池,cedict
battalion commander,营长,cedict
battered and exhausted,狼狈不堪,cedict
battering ram,攻城木,cedict
battery case,背夹电池,cedict
battery cell,电芯,cedict
battery charger,充电器,cedict
battery indicator,电量表,cedict
battery-powered toy,电动玩具,cedict
battery-powered vehicle,电瓶车,cedict
batting average,打击率,cedict
battle array,阵势,cedict
battle companion,战友,cedict
battle cruiser,巡洋舰,cedict
battle formation,军阵,cedict
battle group,战斗群,cedict
battle helmet,兜鍪,cedict
battle line,战线,cedict
battle of britain,不列颠战役,cedict
battle of stalingrad,斯大林格勒会战,cedict
battle of waterloo,滑铁卢,cedict
battle of wits,斗智,cedict
battle progress,战况,cedict
battle royale game,吃鸡,cedict
battle song,战歌,cedict
battledore and shuttlecock,板羽球,cedict
battlefield operation,野战,cedict
battlefield situation,战况,cedict
baume degrees,波美度,cedict
baume hydrometer,波美比重计,cedict
bay bridge,跨海大桥,cedict
bay leaf,月桂,cedict
bay of bengal,孟加拉湾,cedict
bay of biscay,坎塔布连海,cedict
bay of pigs,猪湾,cedict
bay serving as a harbor,港湾,cedict
bay tree,月桂,cedict
bay window,飘窗,cedict
bay woodpecker,黄嘴栗啄木鸟,cedict
baya weaver,黄胸织雀,cedict
bayonet charge,拼刺,cedict
bayonet practice in pairs,对刺,cedict
bcg vaccine,卡介苗,cedict
be better to,宁可,cedict
be bound to,保险,cedict
be headed by,为首,cedict
be honored with,荣获,cedict
be in power,掌权,cedict
be indisposed,不得劲,cedict
be ineffective,不灵,cedict
be no good,不行,cedict
be noncommittal,不置可否,cedict
be of some help,不无小补,cedict
be on a diet,忌口,cedict
be out of the question,不行,cedict
be plainly visible,一览无遗,cedict
be smooth and slick,八面玲珑,cedict
be sure,保险,cedict
be sure not to,切莫,cedict
be sure to,切切,cedict
be that as it may,话虽如此,cedict
be to laid off,下岗,cedict
be unequal to,不胜,cedict
be unpopular,吃不开,cedict
be unspeakable,说不得,cedict
be upset,不是味儿,cedict
be worthy of,对得起,cedict
beach shoes,沙滩鞋,cedict
beach volleyball,沙滩排球,cedict
beacon fire,烟火,cedict
beacon light,标灯,cedict
bead of sweat,汗粒,cedict
beads of sweat,汗珠,cedict
beam of electrons,电子束,cedict
beam of elementary particles,粒子束,cedict
beam of light,亮光,cedict
beaming from ear to ear,满脸生花,cedict
beaming with happiness,喜笑颜开,cedict
bean bag round,布袋弹,cedict
bean counter,打小算盘,cedict
bean curd,豆腐,cedict
bean paste bun,豆沙包,cedict
bean seedling,豆苗,cedict
bean sprout,豆芽,cedict
bean sprouts,豆芽菜,cedict
bear gall,熊胆,cedict
bear hardship with equanimity,安之若素,cedict
bear market,熊市,cedict
bear paw,熊掌,cedict
beard and mustache,胡髭,cedict
beard stubble,胡碴,cedict
bearded reedling,文须雀,cedict
bearded vulture,胡兀鹫,cedict
bearer of good news,报子,cedict
bearing a heavy weight,重压,cedict
bearing ball,滚珠,cedict
bearing many offspring,多育,cedict
bears upon,关系到,cedict
bearskin hat,熊皮帽,cedict
beast of burden,力畜,cedict
beast slaughtered as a sacrifice,牺牲,cedict
beastly desire,兽欲,cedict
beasts of burden,役使动物,cedict
beat boxing,口技,cedict
beaten eggs,蛋液,cedict
beaten track,熟路,cedict
beating of the heart,突突,cedict
beating with wooden staves,杖刑,cedict
beaufort scale for wind speed,蒲福风级,cedict
beaufort sea,波弗特海,cedict
beautified face,美颜,cedict
beautiful adornment,靓妆,cedict
beautiful and alluring,美艳,cedict
beautiful and good,美善,cedict
beautiful and heartwarming,爽心悦目,cedict
beautiful and intricate,绮靡,cedict
beautiful and secluded,清幽,cedict
beautiful and tranquil,幽美,cedict
beautiful appearance,绮貌,cedict
beautiful attire,倩装,cedict
beautiful but aloof,冷艳,cedict
beautiful clothes,绮衣,cedict
beautiful clouds,绮云,cedict
beautiful day,丽日,cedict
beautiful face,美颜,cedict
beautiful feminine attire,红妆,cedict
beautiful girl,姹女,cedict
beautiful girl or young woman,小仙女,cedict
beautiful hair,秀发,cedict
beautiful image of a woman,倩影,cedict
beautiful inside and out,内外兼修,cedict
beautiful or talented writing,生花妙笔,cedict
beautiful scenery,美景,cedict
beautiful sibia,丽色奇鹛,cedict
beautiful silk fabrics,绮罗,cedict
beautiful sisters,姐妹花,cedict
beautiful surroundings,别有天地,cedict
beautiful thoughts,绮思,cedict
beautiful woman,佳人,cedict
beautiful women,燕赵,cedict
beautiful women suffer unhappy fates,红颜薄命,cedict
beautiful wordage,丽词,cedict
beautiful writing,珠玉,cedict
beautiful young woman,娇媚,cedict
beautifully decorated window,绮窗,cedict
beauty contest,竞艳,cedict
beauty mark,美人痣,cedict
beauty queen,选美皇后,cedict
beauty salon,美容店,cedict
beauty sleep,美容觉,cedict
because of this,以此,cedict
beck iron,角砧,cedict
beckenham or beckham,贝克汉姆,cedict
becoming acute,转剧,cedict
bed and bamboo sleeping mat,床笫,cedict
bed curtain,床帐,cedict
bed pan,便盆,cedict
bed sheet,床单,cedict
bed urinal,便壶,cedict
bedding and clothing,被服,cedict
bedding plane,层面,cedict
bedecked with glittering jewels,珠光宝气,cedict
bedroom matters,床笫之事,cedict
bedside cabinet,床头柜,cedict
bedtime story,枕边故事,cedict
bee colony,蜂群,cedict
bee pupa,白子,cedict
bee sting,蜂螫,cedict
beech mushroom,真姬菇,cedict
beef cattle,菜牛,cedict
beef meatballs,牛肉丸,cedict
beef noodle soup,牛肉面,cedict
beef steak,煎牛扒,cedict
beef tallow,牛油,cedict
beef tapeworm,无钩绦虫,cedict
beef tripe,牛百叶,cedict
beef with green peppers,青椒牛柳,cedict
beefsteak plant,紫苏,cedict
beer belly,啤酒肚,cedict
beer festival,啤酒节,cedict
beer or other alcoholic drink,马尿,cedict
beethoven's ninth,贝九,cedict
beetle larva,鸡母虫,cedict
before and after,上下,cedict
before deadline,按时,cedict
before it happens,未然,cedict
before it's too late,趁早,cedict
before leaving,临走,cedict
before long,俄而,cedict
before one's eyes,眼前,cedict
before taxes,税前,cedict
before that,其先,cedict
before the common era,纪元前,cedict
before the event,事先,cedict
before the present,距今,cedict
before then,在这之前,cedict
before this,此前,cedict
before today,前此,cedict
before too long,不久,cedict
before you know it,说时迟，那时快,cedict
beggars' union,丐帮,cedict
begging for magnanimity,请求宽恕,cedict
beginning and end,起讫,cedict
beginning of a decade,年代初,cedict
beginning of a year,开年,cedict
beginning of an age,年代初,cedict
beginning of an event,开场,cedict
beginning of maturity,笄年,cedict
beginning of menstrual cycle,入月,cedict
beginning of spring,春意,cedict
beginning of the year,年初,cedict
beginning period,初期,cedict
beginning student,初学者,cedict
beginning-school ceremony,鼓箧,cedict
behavior and appearance,品貌,cedict
behavioral data,行为数据,cedict
behind bars,身陷囹圄,cedict
behind closed doors,辟室,cedict
behind enemy lines,敌后,cedict
behind in payments,拖欠,cedict
behind sb's back,背后,cedict
behind schedule,晚点,cedict
behind someone's back,背地,cedict
behind the scenes,内幕,cedict
behind-the-scenes story,秘辛,cedict
behind-the-scenes supporter,后台,cedict
beidou navigation satellite system,北斗卫星导航系统,cedict
beijiang river,北江,cedict
beijing and guangdong,京广,cedict
beijing and shanghai,京沪,cedict
beijing and tianjin,京津,cedict
beijing automobile works,北汽,cedict
beijing capital international airport,首都国际机场,cedict
beijing daily,北京日报,cedict
beijing dance academy,北京舞蹈学院,cedict
beijing daxing international airport,北京大兴国际机场,cedict
beijing evening news,北京晚报,cedict
beijing film academy,北京电影学院,cedict
beijing flavor,京味,cedict
beijing foreign studies university,北京外国语大学,cedict
beijing forestry university,北京林业大学,cedict
beijing institute of education,北京教育学院,cedict
beijing institute of technology,北京理工大学,cedict
beijing international studies university,北京第二外国语学院,cedict
beijing language and culture university,北京语言大学,cedict
beijing language institute,北京语言学院,cedict
beijing materials university,北京物资学院,cedict
beijing national stadium,北京国家体育场,cedict
beijing news,新京报,cedict
beijing normal university,北京师范大学,cedict
beijing opera,京剧,cedict
beijing pronunciation,北京音,cedict
beijing resident,北京人,cedict
beijing review,北京周报,cedict
beijing steel and iron institute,钢铁学院,cedict
beijing style,京味,cedict
beijing university of chinese medicine,北京中医药大学,cedict
beijing university of technology,北京工业大学,cedict
being late is not acceptable,过时不候,cedict
being the case that,既是,cedict
being the motive or purpose,起见,cedict
beiyang faction of northern warlords,北洋系,cedict
beiyuan neighborhood of beijing,北苑,cedict
bel canto,美声,cedict
belching and acid reflux,嗳气吞酸,cedict
belching and retching counterflow,嗳气呕逆,cedict
belching of sour putrid gas,嗳气酸腐,cedict
belgian malinois,马犬,cedict
bell and drum,铃鼓,cedict
bell boy,门童,cedict
bell chamber,钟室,cedict
bell labs,贝尔实验室,cedict
bell stroke,铃声,cedict
bell tower,钟楼,cedict
bell-bottomed pants,喇叭裤,cedict
bell-cauldron inscription,金文,cedict
bell-cauldron script,钟鼎文,cedict
belly band,书腰,cedict
belly beef,牛腩,cedict
belly button discharge,脐屎,cedict
belly dance,肚皮舞,cedict
belonging exclusively to,独属,cedict
belonging to,所属,cedict
beloved pet dog,爱犬,cedict
beloved son,娇儿,cedict
below average,差劲,cedict
below the foot,足下,cedict
below the line,线下,cedict
below zero,零下,cedict
belt buckle,皮带扣,cedict
belt conveyor,皮带运输机,cedict
beluga whale,白鲸,cedict
bench press,卧推,cedict
bench vise,台虎钳,cedict
bend in a street,转角,cedict
beneficial bird,益鸟,cedict
beneficial influence of the sovereign,王化,cedict
beneficial insect,益虫,cedict
benefit from others' dispute,坐收渔利,cedict
benefit in kind,福利,cedict
benefit performance,义演,cedict
benefits gained from others' conflict,渔利,cedict
benefits obtained,获利,cedict
benevolence and righteousness,仁义,cedict
benevolence from the emperor,皇恩,cedict
benevolent act,善举,cedict
benevolent government,德政,cedict
benevolent integrity,仁德,cedict
benevolent people can't get rich,为仁不富,cedict
benevolent policy,仁政,cedict
benevolent rule,王道,cedict
benign tumor,良性肿瘤,cedict
benioff zone,毕尼奥夫带,cedict
benjamin franklin,法兰克林,cedict
benny chan,陈木胜,cedict
bent on,一心一意,cedict
bent stick,曲棍,cedict
benthic foraminifera,底栖有孔虫,cedict
benthic organism,底栖生物,cedict
benzathine benzylpenicillin,苄星青霉素,cedict
benzene ring,芳香环,cedict
benzoil nitrate,硝基苯,cedict
benzoil peroxide,过氧化苯甲酰,cedict
benzoin resin,安息香,cedict
bequeathed draft,遗稿,cedict
berber people of north africa,柏柏尔,cedict
bereaved of one's only child,失独,cedict
bering sea,白令海,cedict
berkshire pig,巴克夏猪,cedict
berkshire swine,巴克夏猪,cedict
berlin wall,柏林围墙,cedict
bermuda triangle,百慕大三角,cedict
beset by hunger and cold,饥寒交迫,cedict
beset by poverty and illness,贫病交迫,cedict
beset with difficulties,交困,cedict
beside oneself,魂不附体,cedict
beside oneself with joy,得意忘形,cedict
beside the point,文不对题,cedict
besieged city,围城,cedict
best buy,百思买,cedict
best feature,精华,cedict
best friend,至交,cedict
best friends,死党,cedict
best man,男傧相,cedict
best not to mention it,不提也罢,cedict
best of its kind,尖子,cedict
best of the bunch,精选,cedict
best pal,麻吉,cedict
best policy,善策,cedict
best quality,上乘,cedict
best quality personnel,精锐,cedict
best wishes,万事如意,cedict
best-selling book,畅销书,cedict
bestowed by heaven,天赐,cedict
bestowed kindness,恩慈,cedict
beta ray,乙种射线,cedict
betrothal gift,定礼,cedict
betrothal money,聘金,cedict
better kept under the table,上不了台面,cedict
better late than never,亡羊补牢,cedict
better than,胜似,cedict
better than nothing,聊胜于无,cedict
betting odds,赔率,cedict
betula dahurica,黑桦,cedict
between joints,节间,cedict
between laughter and tears,哭笑不得,cedict
between rows,行间,cedict
between the eyebrows,眉心,cedict
between the fixed stars,恒星际,cedict
bevel angle,斜角,cedict
beverly hills,比佛利山,cedict
beyond belief,荒唐,cedict
beyond compare,绝伦,cedict
beyond description,不可胜言,cedict
beyond hope,不中用,cedict
beyond measure,不可估量,cedict
beyond one's authority or capability,无从,cedict
beyond one's depth,莫测高深,cedict
beyond one's power,力所不及,cedict
beyond one's reach or power,力有未逮,cedict
beyond recognition,不像样,cedict
beyond the earth,天外,cedict
beyond the topmost clouds,九霄云外,cedict
bhaisajyaguru sutra,药师经,cedict
bharatiya janata party,印度人民党,cedict
bhp billiton,必和必拓,cedict
bhutan laughingthrush,丽星噪鹛,cedict
bi disorder,痹证,cedict
bi gan,比干,cedict
bianchi's warbler,比氏鹟莺,cedict
bias current,偏置电流,cedict
bias impedance,偏置电阻,cedict
bias voltage,偏压,cedict
bicameral legislative system,两院制,cedict
biceps femoris,股二头肌,cedict
biceps muscle,二头肌,cedict
bicipital muscle,肱二头肌,cedict
bicycle basket,车筐,cedict
bicycle bell,车铃,cedict
bicycle frame,自行车架,cedict
bicycle handlebar,龙头,cedict
bicycle pump,打气筒,cedict
bid inviting and bid offering,招投标,cedict
bid or tender document,标书,cedict
bid rigging,围标,cedict
big and small,巨细,cedict
big and stout,磊落,cedict
big and strong,五大三粗,cedict
big bad wolf,大灰狼,cedict
big bang,大爆炸,cedict
big ben,大本钟,cedict
big boobs,波霸,cedict
big boobs but no brain,胸大无脑,cedict
big boss,龙头老大,cedict
big brother,大哥,cedict
big data,大数据,cedict
big deal,大碍,cedict
big dick,巨龙,cedict
big dipper,北斗,cedict
big dipper and altair,斗牛,cedict
big discount,巨惠,cedict
big dyeing vat,大染缸,cedict
big eater,大肚子,cedict
big eye contact lens,放大片,cedict
big family,大家庭,cedict
big gun,大炮,cedict
big head,大头,cedict
big heavy snow fall,鹅毛大雪,cedict
big mac,大麦克,cedict
big mac hamburger,麦香堡,cedict
big mouthful,大口,cedict
big pile of rocks,磊磊,cedict
big player,巨头,cedict
big promotion,登仙,cedict
big restaurant,饭庄,cedict
big rig,拖挂车,cedict
big russian-style bread,大列巴,cedict
big shot,大亨,cedict
big sister,大姐,cedict
big stick,大棒,cedict
big talk,牛皮,cedict
big talker,侃爷,cedict
big toe,大拇哥,cedict
big truck,大卡,cedict
big-character poster,大字报,cedict
big-ticket item,大件,cedict
biggest letters,头号字,cedict
bighead carp,鳙鱼,cedict
bijective map,一一映射,cedict
bike park,存车场,cedict
bike rack,自行车架,cedict
bike rider,骑士,cedict
bilabial consonant,双唇音,cedict
bilateral agreement,双方同意,cedict
bilateral korean relations,韩朝,cedict
bilateral symmetry,两侧对称,cedict
bilateral trade,双边贸易,cedict
bile duct,胆管,cedict
bill of exchange,汇票,cedict
bill of lading,提单,cedict
bill of rights,权利法案,cedict
billiards ball,撞球,cedict
billiards table,台球桌,cedict
billowing smoke,乌烟瘴气,cedict
bimaculated lark,二斑百灵,cedict
bimonthly publication,双月刊,cedict
binary code,二进制编码,cedict
binary division,二分裂,cedict
binary encoding,二进制编码,cedict
binary star,联星,cedict
binary system,二进制,cedict
binary tree,二叉树,cedict
binding and layout,装帧,cedict
bing dwen dwen,冰墩墩,cedict
binocular vision,双眼视觉,cedict
binomial coefficient,二项式系数,cedict
binomial nomenclature,二名法,cedict
binormal vector,副法向量,cedict
bioanalytical method,生物分析法,cedict
biographic sketch,生平简介,cedict
biographic sketch of an emperor,本纪,cedict
biographical notes,简历,cedict
biographical sketch,事略,cedict
biography external to the classics,圣经外传,cedict
biological  defense,反生物战,cedict
biological agent,生物战剂,cedict
biological ammunition,生物弹药,cedict
biological clock,生物钟,cedict
biological dosimeter,生物剂量仪,cedict
biological father,生父,cedict
biological fuel,酿热物,cedict
biological parents,生父母,cedict
biological product,生物制剂,cedict
biological vector,生物媒介,cedict
biological warfare,生物战,cedict
biological warfare agent,生物战剂,cedict
biological weapon,生化武器,cedict
biomedical engineering,生物医学工程,cedict
bipinnate leaf,羽状复叶,cedict
bipolar disorder,躁郁症,cedict
birch-leaved pear,棠梨,cedict
birchleaved pear,杜梨,cedict
bird cage,樊笼,cedict
bird characters,鸟篆,cedict
bird eggs,禽蛋,cedict
bird excrement,鸟粪,cedict
bird flu,禽流感,cedict
bird gun,鸟铳,cedict
bird net,罗网,cedict
bird of prey,猛禽,cedict
bird of regulus genus,戴菊鸟,cedict
bird species,禽类,cedict
bird strike,鸟击,cedict
bird's nest,鸟巢,cedict
bird's nest fern,山苏,cedict
bird's-eye view,俯瞰图,cedict
birds and animals,禽兽,cedict
birds and beasts,鸟兽,cedict
birds of a feather,臭味相投,cedict
birth by caesarean section,剖宫产,cedict
birth canal,产道,cedict
birth certificate,出生证,cedict
birth clinic,妇产科,cedict
birth control,计生,cedict
birth defect,先天性缺陷,cedict
birth mother,生母,cedict
birth permit,准生证,cedict
birth rate,出生率,cedict
birthday banquet,寿筵,cedict
birthday boy,小寿星,cedict
birthday cake,寿糕,cedict
birthday card,生日卡,cedict
birthday girl,小寿星,cedict
birthday noodles,寿面,cedict
birthday of a deceased person,冥寿,cedict
birthday of reigning emperor,圣诞,cedict
birthday peach bun,寿桃包,cedict
birthday present,寿礼,cedict
bisphenol a,酚甲烷,cedict
bit and pieces,零杂,cedict
bit by bit,一点一滴,cedict
bit sticking out,突起,cedict
bite marks,牙印,cedict
bite scar,咬痕,cedict
biting cold,凛冽,cedict
biting words,刺儿话,cedict
bitmap font,点阵字体,cedict
bits and piece,七七八八,cedict
bits and pieces,七零八碎,cedict
bits and pieces left over,边角料,cedict
bits of rubbish,唾余,cedict
bitten-lips look,咬唇妆,cedict
bitter about unbearable grievances,气不过,cedict
bitter and astringent,苦涩,cedict
bitter and hateful,痛心疾首,cedict
bitter and sad,悲酸,cedict
bitter anguish,切肤之痛,cedict
bitter bamboo,苦竹,cedict
bitter cold,严寒,cedict
bitter fate,苦命,cedict
bitter fighting,鏖战,cedict
bitter hatred,切骨之仇,cedict
bitter melon,苦瓜,cedict
bitter orange,枳壳,cedict
bitter quarrel,仇隙,cedict
bitter remarks,冷话,cedict
bitter smile,惨笑,cedict
bitter struggle,苦战,cedict
bitter sweet,苦甘,cedict
bitter taste,苦味,cedict
bitter thoughts,苦思,cedict
bitter water,苦水,cedict
bitter work,苦力,cedict
bitterly disappointed,寒心,cedict
bituminous coal,黑炭,cedict
bizarre dress,奇装异服,cedict
bkar-dgam-pa sect of tibetan buddhism,噶当派,cedict
black and white,单色,cedict
black and white picture,单色照片,cedict
black and white tv,黑白电视,cedict
black armband,黑纱,cedict
black atractylodes rhizome,苍术,cedict
black bamboo,紫竹,cedict
black baza,黑冠鹃隼,cedict
black bean,豆豉,cedict
black bean sauce,豆豉,cedict
black bear,狗熊,cedict
black bittern,黑鳽,cedict
black body radiation,黑体辐射,cedict
black box,飞行记录仪,cedict
black bulbul,黑短脚鹎,cedict
black carbon,黑碳,cedict
black cardamom,草果,cedict
black carp,青鱼,cedict
black clothes,青衣,cedict
black cloud,乌云,cedict
black coal,黑煤,cedict
black coffee,黑咖啡,cedict
black core,黑心,cedict
black crested gibbon,黑冠长臂猿,cedict
black cumin,黑枯茗,cedict
black death,黑死病,cedict
black devil,黑鬼,cedict
black dragon,乌龙,cedict
black drongo,鹙鹭,cedict
black dwarf star,黑矮星,cedict
black eagle,林雕,cedict
black eggshell pottery,黑陶,cedict
black eye,黑眼圈,cedict
black flag army,黑旗军,cedict
black forest,黑森林,cedict
black forest cake,黑森林蛋糕,cedict
black frame,黑框,cedict
black friday,黑五,cedict
black gauze hat,乌纱帽,cedict
black grouse,黑琴鸡,cedict
black hair,黑发,cedict
black hawk,黑鹰,cedict
black henbane,莨菪,cedict
black hole,黑洞,cedict
black kite,黑鸢,cedict
black lark,黑百灵,cedict
black lead,石墨,cedict
black lives matter,黑命贵,cedict
black locust tree,洋槐,cedict
black market,黑市,cedict
black nightshade,龙葵,cedict
black olive,榄角,cedict
black operations,暗箱操作,cedict
black pepper,黑椒,cedict
black person,老黑,cedict
black pigment,黑素,cedict
black pomfret,乌鲳,cedict
black pottery culture,龙山文化,cedict
black powder,黑火药,cedict
black redstart,赭红尾鸲,cedict
black scoter,黑海番鸭,cedict
black sea,黑海,cedict
black sheep,害群之马,cedict
black soy sauce,双抽,cedict
black stork,黑鹳,cedict
black swan,黑天鹅,cedict
black swan event,黑天鹅事件,cedict
black tea,红茶,cedict
black tern,黑浮鸥,cedict
black tortoise,玄武,cedict
black woodpecker,黑啄木鸟,cedict
black-backed dwarf kingfisher,三趾翠鸟,cedict
black-backed forktail,黑背燕尾,cedict
black-bellied sandgrouse,黑腹沙鸡,cedict
black-bellied tern,黑腹燕鸥,cedict
black-bibbed tit,黑喉山雀,cedict
black-billed capercaillie,黑嘴松鸡,cedict
black-boned chicken,武山鸡,cedict
black-breasted thrush,黑胸鸫,cedict
black-browed bushtit,黑眉长尾山雀,cedict
black-browed reed warbler,黑眉苇莺,cedict
black-capped kingfisher,蓝翡翠,cedict
black-chinned babbler,黑颏穗鹛,cedict
black-chinned fruit dove,黑颏果鸠,cedict
black-chinned yuhina,黑额凤鹛,cedict
black-collared starling,黑领椋鸟,cedict
black-crested bulbul,黑冠黄鹎,cedict
black-crowned night heron,夜鹭,cedict
black-crowned scimitar babbler,红嘴钩嘴鹛,cedict
black-eared shrike-babbler,栗喉鵙鹛,cedict
black-faced bunting,灰头鹀,cedict
black-faced laughingthrush,黑顶噪鹛,cedict
black-faced spoonbill,黑脸琵鹭,cedict
black-faced warbler,黑脸鹟莺,cedict
black-footed albatross,黑脚信天翁,cedict
black-headed bulbul,黑头鹎,cedict
black-headed bunting,黑头鹀,cedict
black-headed greenfinch,黑头金翅雀,cedict
black-headed gull,红嘴鸥,cedict
black-headed ibis,黑头白鹮,cedict
black-headed shrike-babbler,棕腹鵙鹛,cedict
black-headed sibia,黑头奇鹛,cedict
black-hooded oriole,黑头黄鹂,cedict
black-legged kittiwake,三趾鸥,cedict
black-naped monarch,黑枕王鹟,cedict
black-naped oriole,仓庚,cedict
black-naped tern,黑枕燕鸥,cedict
black-necked crane,黑颈鹤,cedict
black-necked grebe,黑颈䴙䴘,cedict
black-necklaced scimitar babbler,台湾斑胸钩嘴鹛,cedict
black-streaked scimitar babbler,斑胸钩嘴鹛,cedict
black-tailed crake,棕背田鸡,cedict
black-tailed godwit,黑尾塍鹬,cedict
black-tailed gull,黑尾鸥,cedict
black-throated accentor,黑喉岩鹨,cedict
black-throated bushtit,红头长尾山雀,cedict
black-throated laughingthrush,黑喉噪鹛,cedict
black-throated loon,黑喉潜鸟,cedict
black-throated parrotbill,黑喉鸦雀,cedict
black-throated prinia,黑胸山鹪莺,cedict
black-throated sunbird,黑胸太阳鸟,cedict
black-throated thrush,黑颈鸫,cedict
black-winged cuckooshrike,暗灰鹃鵙,cedict
black-winged kite,黑翅鸢,cedict
black-winged pratincole,黑翅燕鸻,cedict
black-winged snowfinch,褐翅雪雀,cedict
black-winged stilt,黑翅长脚鹬,cedict
blackberry lily,射干,cedict
blackboard or whiteboard eraser,板擦,cedict
blackened name,骂名,cedict
blade of a propeller,桨板,cedict
blade of an oar,桨板,cedict
blade of tongue,舌面,cedict
bladeless fan,无叶风扇,cedict
blah blah,磨嘴皮子,cedict
blah blah blah,吧啦吧啦,cedict
blakiston's fish owl,毛脚渔鸮,cedict
blamed for,负有责任,cedict
blanc de chine,白瓷,cedict
blanford's rosefinch,赤朱雀,cedict
blanford's snowfinch,棕背雪雀,cedict
blang ethnic group,布朗,cedict
blank check,空白支票,cedict
blank exam paper,白卷,cedict
blank slate,白板,cedict
blank space,空白,cedict
blank stele,无字碑,cedict
blank vote,白票,cedict
blanket roll,背包,cedict
blast furnace,高炉,cedict
blast wave,冲击波,cedict
blastodermic vesicle,胚囊泡,cedict
blazing sun,骄阳,cedict
bleaching agent,脱色剂,cedict
bleaching powder,漂白粉,cedict
bleating of a deer,呦呦,cedict
bleed hole,溢流孔,cedict
blended fabric,混纺,cedict
blended family,重组家庭,cedict
blessed by heaven,得天独厚,cedict
blessed with good fortune,好命,cedict
blessings from heaven,降福,cedict
blessings never come in pairs,福无双至,cedict
blighted grain,秕子,cedict
blind alley,死胡同,cedict
blind arch,假拱,cedict
blind as a bat,有眼无珠,cedict
blind carbon copy,密送,cedict
blind date,相亲,cedict
blind drunk,泥醉,cedict
blind guess,瞎猜,cedict
blind luck,瞎猫碰上死耗子,cedict
blind man's stick,马竿,cedict
blind monk,瞽阇,cedict
blind person,盲人,cedict
blind shaft,暗井,cedict
blind spot,哑点,cedict
blind taste testing,盲品,cedict
blind testing,盲测,cedict
blind via,盲孔,cedict
blinded by greed,利欲熏心,cedict
blistering hot,炎热,cedict
bloated corpse,巨人观,cedict
block and tackle,滑轮,cedict
block diagram,方框图,cedict
block letters,大写,cedict
block paragraphs,齐头式,cedict
block printed edition,刻本,cedict
blockbuster movie,大片,cedict
blocked shot,封盖,cedict
blog article,博文,cedict
blog drama,博客话剧,cedict
blog writer,博客写手,cedict
blood and tears,血泪,cedict
blood and vital breath,血气,cedict
blood bag,血袋,cedict
blood bank,血库,cedict
blood bath,血流漂杵,cedict
blood brain barrier,脑血管屏障,cedict
blood cell,血细胞,cedict
blood center,血站,cedict
blood circulation,血液循环,cedict
blood clam,蚶子,cedict
blood clot,凝块,cedict
blood clotting,血液凝结,cedict
blood congestion,充血,cedict
